,PseudoTime
45006fe3e4c8,0.002585439752226033
d02759a80ba2,0.024773785626916452
c016c6b0efa5,0.0017254770319658434
ba7f733a4f75,0.017151014716591327
fbcf2443ffb2,0.0021361191335155156
d80d84ca8e89,0.020980041876739807
1ac2049b4c98,0.0025367258086517984
33fb0c29e2e4,0.009644728737305933
b329261bd0ee,0.002518383825908436
703762287e88,0.002720278519381401
b646f9b319d5,0.10470605470722996
8dbe30c95702,0.05483558718045115
14872957f6f5,0.009472613134564885
2d64cde52cb5,0.0023642016422550987
f12e269586de,0.04440108319856241
9b761504056d,0.009570834865420591
086f8e248454,0.0035651249955738315
1d2726dd7b00,0.009628766753135313
2f4ee4660cd0,0.003642310958264528
6e3e3bea962c,0.07781907019324835
7b73a396081b,0.002799310229758584
4f2843b68f54,0.08275550349345008
ce59e8ae43b2,0.0009411600899951543
f177e24dd27f,0.009652947442443464
3e9868bca666,0.016956139827689468
f64f24ba925a,0.0037298238637880773
daa10d474d5f,0.0025719712646028203
14eb0b93a25a,0.0013951820775133226
9091907ae959,0.009523360152665075
83ad957ed9a8,0.0034305844654403473
d87f439a9f22,0.003620556005465624
ea1975bd6055,0.011982165029897133
95759da25a74,0.163353558234698
4936ac8d22ba,0.0034165681352521
f194d259da45,0.003720792640762666
b0f55f2b7a9a,0.09188354226125119
691d7b9f980d,0.06737783371132906
9085ea05115e,0.0033625054898366764
bd0c425de3e4,0.002771883814906314
95ce3f4e74d8,0.002496262820804312
f2479eb2c99f,0.09729418244911256
87229342150a,0.04453911648441116
bec79ad8d168,0.002049218132305358
3e8d5a22299d,0.0024813077637939147
fa035a84c643,0.0028301163965040095
e3c2ca1485a8,0.0028163603052719656
1110c446285e,0.00028742805232173386
a91d20f23794,0.0025510543301037014
755f28c0c23b,0.009677114232533776
92a8207d0e3e,0.15226249543341347
347f40965136,0.07519737895096253
c0d1376c85de,0.04975237794728337
f059c0fa7f2f,0.018203428799793402
b0745a4706d5,0.009483597253610646
871058f78714,0.0035585315766186844
6f115b350948,0.009534443927891746
a6821a25dca4,0.011997334548802037
8663f1200ec5,0.010955534260832747
824a1a093b1e,0.0025784249259514975
914ff2cba18c,0.08242044233764141
dd1f314ead05,0.0017775964230340678
91f1de398c7d,0.003857925240957461
7f19eb60192a,0.07512800715709197
e5e3f2fddd66,0.001581239162027458
b44c0a754469,0.063437409009428
611f314188a8,0.003017430143813379
e8ac1c9075ba,0.0778664479547267
fef5be57d70e,0.08721304635349446
003fe3679efa,0.002555325081331564
e8672e9294ff,0.017025142730884686
7bfa50ddf2bb,0.08734352755842115
e5a992302262,0.009566998757221695
a3a2af73050e,0.002585488186657266
1a3048641b28,0.00338745664068561
920736877564,0.003713376976863257
6c9aa6bc4259,0.002774896116431056
f7e6dea970b2,0.0023645467967476504
a09bd1b71d8a,0.000981425391284903
6ddc964e07f5,0.003771263566988334
84bf20406b06,0.003375083695000004
def462a2aeea,0.017056783565359165
2682063a02ac,0.10469139666668721
e352aff61ac6,0.005758974995780508
14aefab25e10,0.009749982908740268
199747bf026b,0.002574490777396791
9417e6a6e030,0.13486011885568794
f1f05843c390,0.002561264658630213
b84469bef327,0.009516016929145915
acf092f46e81,0.002522451871189001
a120007b7798,0.008546221142059893
06702fda3e46,0.060450225385017375
aa06275ba5a2,0.024921604770582476
49336aa1715d,0.0025462132632978513
8b29d8fc8386,0.07507292495533127
cec6506ae088,0.003432625419534801
613f1d17569a,0.08250281346336087
997cb42b095c,0.04443009600129925
21e74451fc57,0.002585156631170285
a7de418fbaa3,0.0548422443686375
eabcc33d311f,0.06401296994654865
52907cde6bda,0.0024227464685363112
5d452ff6a8c1,0.0027189606563195216
28ba4c6f648f,0.0030609420604766576
67608a7ece58,0.0036208335584643784
276921a7ba05,0.01692446129805496
925a8adb6502,0.004905686401506591
bbdf2996cfbe,0.17194723357325836
3786514bba02,0.0023643085219307264
