,VGAMpValue,Variance
ENSG00000121410_A1BG,0.0,0.3188350200653076
ENSG00000268895_A1BG-AS1,0.0,0.7112733125686646
ENSG00000175899_A2M,0.0,0.0693235844373703
ENSG00000245105_A2M-AS1,0.0,0.6132990717887878
ENSG00000166535_A2ML1,0.0,0.005162940360605717
ENSG00000128274_A4GALT,0.0,0.35531365871429443
ENSG00000094914_AAAS,0.0,3.910137414932251
ENSG00000081760_AACS,0.0,3.9295272827148438
ENSG00000109576_AADAT,0.0,1.0076919794082642
ENSG00000103591_AAGAB,0.0,3.348219394683838
ENSG00000115977_AAK1,0.0,4.44769287109375
ENSG00000087884_AAMDC,0.0,4.236922264099121
ENSG00000127837_AAMP,0.0,4.0815887451171875
ENSG00000129673_AANAT,0.0,0.023505739867687225
ENSG00000131043_AAR2,0.0,2.7366855144500732
ENSG00000205002_AARD,0.0,0.10018771886825562
ENSG00000090861_AARS,0.0,4.207688331604004
ENSG00000124608_AARS2,0.0,1.4446009397506714
ENSG00000266967_AARSD1,0.0,2.3848607540130615
ENSG00000157426_AASDH,0.0,3.614830732345581
ENSG00000149313_AASDHPPT,0.0,3.8994140625
ENSG00000008311_AASS,0.0,0.7736731171607971
ENSG00000215458_AATBC,0.0,0.06762686371803284
ENSG00000275700_AATF,0.0,3.7781283855438232
ENSG00000181409_AATK,0.0,0.20307165384292603
ENSG00000281376_ABALON,0.0,0.10387362539768219
ENSG00000183044_ABAT,0.0,0.6703788638114929
ENSG00000165029_ABCA1,0.0,0.14375579357147217
ENSG00000154263_ABCA10,0.0,0.03485718369483948
ENSG00000251595_ABCA11P,0.0,0.4804393947124481
ENSG00000179869_ABCA13,0.0,0.19080519676208496
ENSG00000238098_ABCA17P,0.0,0.13450849056243896
ENSG00000107331_ABCA2,0.0,3.5697436332702637
ENSG00000167972_ABCA3,0.0,0.6092454791069031
ENSG00000154265_ABCA5,0.0,1.8246227502822876
ENSG00000154262_ABCA6,0.0,0.005681011360138655
ENSG00000064687_ABCA7,0.0,1.3470677137374878
ENSG00000085563_ABCB1,0.0,1.2719082832336426
ENSG00000135776_ABCB10,0.0,3.7349493503570557
ENSG00000073734_ABCB11,0.0,0.09710768610239029
ENSG00000005471_ABCB4,0.0,0.08320442587137222
ENSG00000115657_ABCB6,0.0,0.04222388193011284
ENSG00000131269_ABCB7,0.0,4.022851467132568
ENSG00000197150_ABCB8,0.0,2.86928653717041
ENSG00000150967_ABCB9,0.0,0.9039771556854248
ENSG00000103222_ABCC1,0.0,3.550673484802246
ENSG00000124574_ABCC10,0.0,0.8734810948371887
ENSG00000243064_ABCC13,0.0,0.023280708119273186
ENSG00000023839_ABCC2,0.0,0.04608418419957161
ENSG00000108846_ABCC3,0.0,0.18803472816944122
ENSG00000125257_ABCC4,0.0,5.005812644958496
ENSG00000114770_ABCC5,0.0,3.0749993324279785
ENSG00000091262_ABCC6,0.0,0.10278601199388504
ENSG00000101986_ABCD1,0.0,0.6031059622764587
ENSG00000117528_ABCD3,0.0,4.051032543182373
ENSG00000119688_ABCD4,0.0,3.4301960468292236
ENSG00000164163_ABCE1,0.0,3.1060495376586914
ENSG00000204574_ABCF1,0.0,2.8943283557891846
ENSG00000033050_ABCF2,0.0,4.188321113586426
ENSG00000161204_ABCF3,0.0,2.761058807373047
ENSG00000160179_ABCG1,0.0,0.8689583539962769
ENSG00000118777_ABCG2,0.0,0.35751578211784363
ENSG00000143921_ABCG8,0.0,0.14441509544849396
ENSG00000143994_ABHD1,0.0,0.27398180961608887
ENSG00000144827_ABHD10,0.0,3.9921023845672607
ENSG00000106077_ABHD11,0.0,2.740429162979126
ENSG00000225969_ABHD11-AS1,0.0,0.03309055045247078
ENSG00000100997_ABHD12,0.0,3.4834108352661133
ENSG00000131969_ABHD12B,0.0,0.08868477493524551
ENSG00000139826_ABHD13,0.0,2.613741636276245
ENSG00000248487_ABHD14A,0.0,4.201626777648926
ENSG00000114786_ABHD14A-ACY1,0.0,0.5450654029846191
ENSG00000114779_ABHD14B,0.0,3.9524762630462646
ENSG00000168792_ABHD15,0.0,1.5819259881973267
ENSG00000264031_ABHD15-AS1,0.0,0.0
ENSG00000204427_ABHD16A,0.0,0.36095038056373596
ENSG00000129968_ABHD17A,0.0,3.817157030105591
ENSG00000250536_ABHD17AP3,0.0,0.20813138782978058
ENSG00000107362_ABHD17B,0.0,3.594162940979004
ENSG00000136379_ABHD17C,0.0,2.1102092266082764
ENSG00000164074_ABHD18,0.0,3.0033013820648193
ENSG00000140526_ABHD2,0.0,4.254535675048828
ENSG00000158201_ABHD3,0.0,2.870546817779541
ENSG00000100439_ABHD4,0.0,0.8350443243980408
ENSG00000011198_ABHD5,0.0,3.55945086479187
ENSG00000163686_ABHD6,0.0,0.9082409143447876
ENSG00000127220_ABHD8,0.0,1.6058201789855957
ENSG00000136754_ABI1,0.0,4.215997695922852
ENSG00000138443_ABI2,0.0,4.260550498962402
ENSG00000108798_ABI3,0.0,0.9154826998710632
ENSG00000154175_ABI3BP,0.0,0.014775372110307217
ENSG00000097007_ABL1,0.0,2.234027862548828
ENSG00000143322_ABL2,0.0,2.9575161933898926
ENSG00000099204_ABLIM1,0.0,3.712282419204712
ENSG00000173210_ABLIM3,0.0,0.0
ENSG00000175164_ABO,0.0,2.3803601264953613
ENSG00000159842_ABR,0.0,2.148043394088745
ENSG00000146386_ABRACL,0.0,0.8646755814552307
ENSG00000163322_ABRAXAS1,0.0,4.217572212219238
ENSG00000165660_ABRAXAS2,0.0,3.821918249130249
ENSG00000146109_ABT1,0.0,4.145549297332764
ENSG00000114626_ABTB1,0.0,1.5453336238861084
ENSG00000166016_ABTB2,0.0,0.2856315076351166
ENSG00000260246_AC000032.1,0.0,0.014677559025585651
ENSG00000185065_AC000068.1,0.0,0.19337500631809235
ENSG00000273212_AC000068.2,0.0,0.005187203176319599
ENSG00000273300_AC000068.3,0.0,0.0945863276720047
ENSG00000235776_AC000089.1,0.0,0.009109624661505222
ENSG00000243107_AC000120.1,0.0,0.011657936498522758
ENSG00000279265_AC000123.2,0.0,0.24983055889606476
ENSG00000280347_AC000123.3,0.0,0.501148521900177
ENSG00000278727_AC000403.1,0.0,0.0032844911329448223
ENSG00000274898_AC001226.1,0.0,0.03922191262245178
ENSG00000283208_AC001226.2,0.0,0.08638524264097214
ENSG00000272330_AC002044.1,0.0,0.00801175832748413
ENSG00000279591_AC002044.2,0.0,0.06261447072029114
ENSG00000213683_AC002056.1,0.0,0.002453849883750081
ENSG00000273216_AC002059.1,0.0,0.05068916827440262
ENSG00000248636_AC002070.1,0.0,0.02392801083624363
ENSG00000237729_AC002075.2,0.0,0.08195110410451889
