,pseudotime
45006fe3e4c8,0.5551398108444843
d02759a80ba2,0.43939316911567877
c016c6b0efa5,0.0356220120531088
ba7f733a4f75,0.46390868971733173
fbcf2443ffb2,0.6651554255930547
d80d84ca8e89,0.8512555069008483
1ac2049b4c98,0.5509967865839384
33fb0c29e2e4,0.4892871129038159
b329261bd0ee,0.6084100657917663
703762287e88,0.5177353253741113
b646f9b319d5,0.40035929292869465
8dbe30c95702,0.47573100288992265
14872957f6f5,0.4641373884548557
2d64cde52cb5,0.6334017129752216
f12e269586de,0.4518516068327232
9b761504056d,0.4984045780628495
086f8e248454,0.5786154358613177
1d2726dd7b00,0.5164007611140462
2f4ee4660cd0,0.4780543510126751
6e3e3bea962c,0.4205517359994453
7b73a396081b,0.529082792508853
4f2843b68f54,0.4069455774730678
ce59e8ae43b2,0.7349731505858
f177e24dd27f,0.47089121251768584
3e9868bca666,0.48526390697152944
f64f24ba925a,0.5541807534622332
daa10d474d5f,0.5439310908309942
14eb0b93a25a,0.053671720550287634
9091907ae959,0.48712511057123736
83ad957ed9a8,0.48060110775871484
d87f439a9f22,0.5813498692342572
ea1975bd6055,0.5438841151862962
95759da25a74,0.3562163244905458
4936ac8d22ba,0.5168040495708438
f194d259da45,0.5308710914807226
b0f55f2b7a9a,0.40617919006828523
691d7b9f980d,0.4798337228016662
9085ea05115e,0.5678841914762797
bd0c425de3e4,0.5768766569708609
95ce3f4e74d8,0.5944027892799535
f2479eb2c99f,0.4350841736132309
87229342150a,0.4204482780882849
bec79ad8d168,0.7326782881247448
3e8d5a22299d,0.6310557622847983
fa035a84c643,0.6879615325653932
e3c2ca1485a8,0.5852527890534014
1110c446285e,0.720084227198882
a91d20f23794,0.5888195112151358
755f28c0c23b,0.4844801891343069
92a8207d0e3e,0.3690209991453412
347f40965136,0.4076229176973228
c0d1376c85de,0.4643650727163678
f059c0fa7f2f,0.6821097398703688
b0745a4706d5,0.49189358927845206
871058f78714,0.6018777674313344
6f115b350948,0.4622612221433083
a6821a25dca4,0.44460758422430524
8663f1200ec5,0.8827779596331473
824a1a093b1e,0.5193055249792671
914ff2cba18c,0.41163264317349985
dd1f314ead05,0.7596309520512295
91f1de398c7d,0.6695730724892567
7f19eb60192a,0.4246967960280353
e5e3f2fddd66,0.056837367977408924
b44c0a754469,0.4310141908720937
611f314188a8,0.12828434849571088
e8ac1c9075ba,0.4166284353097084
fef5be57d70e,0.4339900987177119
003fe3679efa,0.5584387680698035
e8672e9294ff,0.44262137878363517
7bfa50ddf2bb,0.4219616300912823
e5a992302262,0.46456692106097647
a3a2af73050e,0.5372408472949681
1a3048641b28,0.5570431531079804
920736877564,0.5101130070647367
6c9aa6bc4259,0.5525503668723593
f7e6dea970b2,0.6325698707640077
a09bd1b71d8a,0.7302185506113843
6ddc964e07f5,0.6457776733924024
84bf20406b06,0.632593844668796
def462a2aeea,0.4531281568736519
2682063a02ac,0.40577164592464127
e352aff61ac6,0.4940294117162589
14aefab25e10,0.4907991601367648
199747bf026b,0.5304098070774591
9417e6a6e030,0.4421581088095141
f1f05843c390,0.592004401960956
b84469bef327,0.5498273669326794
acf092f46e81,0.5594901308269131
a120007b7798,0.5085310808104104
06702fda3e46,0.4834687982068583
aa06275ba5a2,0.6137477642703232
49336aa1715d,0.5861009390474367
8b29d8fc8386,0.48855264568226364
cec6506ae088,0.5046205410789398
613f1d17569a,0.40588897627690745
997cb42b095c,0.43697752223750164
21e74451fc57,0.5536629844082894
a7de418fbaa3,0.44987902025513077
eabcc33d311f,0.44245122171649837
52907cde6bda,0.6944432746357144
5d452ff6a8c1,0.5198425004485907
28ba4c6f648f,0.6310552909323371
67608a7ece58,0.45434806119299526
276921a7ba05,0.4244647742574036
925a8adb6502,0.04395990414080999
bbdf2996cfbe,0.37731148449848734
3786514bba02,0.6680277070264431
42ae70ae6598,0.316230227270933
1591f10043a1,0.5703015712128967
5698ba802a10,0.6053724932500343
d0bee99ee9dc,0.5106026808851217
b2483923a9d0,0.5028247880294506
63eb12410d1d,0.5423171975421611
965056da779e,0.4861925317649288
e6db72b24842,0.5796215833332758
c273e8425cbd,0.7538358272609638
d239e04bfca5,0.4046904161144105
d6f18ea86339,0.5247563612639584
6ec379acb02a,0.5773121585457655
117f35b24c6b,0.6650478605928802
3974ee8acc36,0.4659860807054733
e7e3ebf29607,0.41444129756184594
2cad279f8588,0.45408169679206695
f5dbdf7f4b14,0.37071650291242986
6921d5435edd,0.35429670281411096
9978b586461e,0.6144735911822674
cc9ada211bc7,0.3926493390511937
c72aad44668d,0.4285355883791654
2abeb17a4f5e,0.7607163390827271
69ba2205c983,0.47639546524962956
76d3aa462cc8,0.396056771104398
bd8c0cab049d,0.44261552207259697
bc3c5379eeed,0.5370214291546365
440bd914d019,0.6395474813752263
854d7d86a4e9,0.6057293795867993
05ff94d60744,0.6950861696614202
f8260402868d,0.49715294055315
ee8a308acdcb,0.3983817358629391
1dcc265729fb,0.5328766929078439
c281c186b410,0.4577894749078766
97ae6072d2b8,0.6414687620414523
062180127a05,0.5855061032848016
d63c789684df,0.4367554845443386
78a113499641,0.823691372931604
d857778baa36,0.4958706105429049
7d94929ca40c,0.13185483076012874
5a0b10b1f455,0.4180371190331876
21f800669ce9,0.5639570347130124
c24708f82728,0.5705596615915935
a12adb49d85c,0.5046403568484317
92940b2a0604,0.7774505734231001
